CustomerID,recency,frequency,monetary,r_score,f_score,m_score,fm_score,rfm_segment
12346,326,1,77183.6,1,3,5,4,Cant Lose Them
12347,3,0.53846153846153844,4078.95,5,2,5,4,Champions
12348,76,0.4,1437.2400000000002,2,1,4,3,Customers Needing Attention
12349,19,1,1287.15,4,3,4,4,Loyal Customers
12350,311,1,294.40000000000003,1,3,2,3,At Risk
12352,37,0.7,1147.44,3,2,4,3,Potential Loyalists
12353,205,1,29.300000000000004,1,3,1,2,Hibernating
12354,233,1,925.95,1,3,4,4,Cant Lose Them
12355,215,1,414,1,3,2,3,At Risk
12356,246,0.5,1911.4,1,1,5,3,At Risk
12357,34,1,5291.2699999999977,3,3,5,4,Loyal Customers
12358,2,0.33333333333333331,908.16000000000008,5,1,4,3,Loyal Customers
12359,58,0.4,3642.329999999999,3,1,5,3,Potential Loyalists
12360,53,0.5,1914.2599999999998,3,1,5,3,Potential Loyalists
12361,288,1,174.89999999999998,1,3,1,2,Hibernating
12362,4,0.90909090909090906,4377.2800000000007,5,3,5,4,Champions
12363,110,0.4,552,2,1,3,2,Customers Needing Attention
12364,8,0.8,1186.1999999999998,5,3,4,4,Champions
12365,292,1,307.94,1,3,2,3,At Risk
12367,5,1,150.9,5,3,1,2,Potential Loyalists
12370,52,0.36363636363636365,3228.39,3,1,5,3,Potential Loyalists
12371,60,1,1441.16,3,3,4,4,Loyal Customers
12372,72,0.375,1196.04,3,1,4,3,Potential Loyalists
12373,312,1,324.6,1,3,2,3,At Risk
12374,26,1,563.52999999999986,4,3,3,3,Potential Loyalists
12375,11,0.66666666666666663,377.50000000000006,5,2,2,2,Potential Loyalists
12377,316,1,1488.4199999999996,1,3,4,4,Cant Lose Them
12378,130,1,3777.2200000000012,2,3,5,4,At Risk
12379,82,0.5,777.24,2,1,3,2,Customers Needing Attention
12380,22,0.66666666666666663,2244.11,4,2,5,4,Loyal Customers
12381,5,1,1276.86,5,3,4,4,Champions
12383,185,0.7142857142857143,1382.96,1,2,4,3,At Risk
12384,29,0.5,351.71999999999997,4,1,2,2,Potential Loyalists
12386,338,1,401.90000000000003,1,3,2,3,At Risk
12388,16,0.54545454545454541,2713.7600000000007,4,2,5,4,Loyal Customers
12390,80,1,431.14000000000004,2,3,3,3,Customers Needing Attention
12391,22,1,433.98999999999995,4,3,3,3,Potential Loyalists
12393,73,0.44444444444444442,1582.6000000000001,2,1,4,3,Customers Needing Attention
12394,64,0.33333333333333331,1060.5800000000002,3,1,4,3,Potential Loyalists
12395,20,1,2394.53,4,3,5,4,Loyal Customers
12397,36,0.4,1773.9499999999998,3,1,4,3,Potential Loyalists
12398,46,1,1435.6599999999999,3,3,4,4,Loyal Customers
12399,120,0.66666666666666663,1033.65,2,2,4,3,Customers Needing Attention
12401,304,1,32.85,1,3,1,2,Hibernating
12402,324,1,195.6,1,3,1,2,Hibernating
12403,50,1,391.7,3,3,2,3,Potential Loyalists
12405,149,1,1356.3900000000006,2,3,4,4,At Risk
12406,23,0.33333333333333331,3235.9000000000005,4,1,5,3,Potential Loyalists
12407,50,0.625,1375.7700000000002,3,2,4,3,Potential Loyalists
12408,33,0.55555555555555558,2446.01,4,2,5,4,Loyal Customers
12409,79,0.75,9754.8700000000026,2,2,5,4,At Risk
12410,309,1,337.83000000000004,1,3,2,3,At Risk
12412,75,0.75,1142.88,2,2,4,3,Customers Needing Attention
12413,67,0.3,609.4,3,1,3,2,Customers Needing Attention
12414,218,0.75,442.41,1,2,3,3,At Risk
12415,25,1.8181818181818181,115158.98000000001,4,5,5,5,Champions
12417,4,0.69230769230769229,2417.1000000000004,5,2,5,4,Champions
12418,113,1,495.67999999999995,2,3,3,3,Customers Needing Attention
12420,64,1,474.14,3,3,3,3,Potential Loyalists
12421,16,0.36363636363636365,626.29000000000008,4,1,3,2,Potential Loyalists
12422,96,0.33333333333333331,645.31,2,1,3,2,Customers Needing Attention
12423,1,0.61538461538461542,1568.0100000000002,5,2,4,3,Loyal Customers
12424,163,2,1760.9600000000003,2,5,4,5,At Risk
12425,79,1,734.7,2,3,3,3,Customers Needing Attention
12426,195,1,493.77999999999992,1,3,3,3,At Risk
12427,22,0.25,563.8,4,1,3,2,Potential Loyalists
12428,26,0.88888888888888884,5720.41,4,3,5,4,Loyal Customers
12429,10,0.33333333333333331,3226.3,5,1,5,3,Loyal Customers
12430,44,1,168.6,3,3,1,2,Customers Needing Attention
12431,36,1.25,5994.7500000000009,3,5,5,5,Loyal Customers
12432,43,0.8,3746.6200000000008,3,3,5,4,Loyal Customers
12433,1,0.53846153846153844,13033.070000000003,5,2,5,4,Champions
12434,85,0.2857142857142857,786.24,2,1,3,2,Customers Needing Attention
12435,80,0.2857142857142857,6549.49,2,1,5,3,Customers Needing Attention
12436,100,1,429.01000000000005,2,3,3,3,Customers Needing Attention
12437,2,1.5,3354.16,5,5,5,5,Champions
12438,15,0.4,2153.5,4,1,5,3,Potential Loyalists
12441,367,1,155.55,1,3,1,2,Hibernating
12442,4,1,144.06,5,3,1,2,Potential Loyalists
12444,22,0.83333333333333337,2478.9600000000005,4,3,5,4,Loyal Customers
12445,23,1,77.4,4,3,1,2,Potential Loyalists
12446,58,1,783.8599999999999,3,3,3,3,Potential Loyalists
12447,244,1,411.59000000000003,1,3,2,3,At Risk
12448,45,1,300.45000000000005,3,3,2,3,Potential Loyalists
12449,23,0.66666666666666663,2781.54,4,2,5,4,Loyal Customers
12450,157,1,197.88,2,3,1,2,Customers Needing Attention
12451,11,0.45454545454545453,8314.37,5,1,5,3,Loyal Customers
12452,17,1,333.57000000000005,4,3,2,3,Potential Loyalists
12453,135,1,707.08999999999992,2,3,3,3,Customers Needing Attention
12454,57,1,2760.44,3,3,5,4,Loyal Customers
12455,74,0.625,2271.8599999999997,2,2,5,4,At Risk
12456,45,0.375,2267.04,3,1,5,3,Potential Loyalists
12457,67,0.8571428571428571,1850.83,3,3,4,4,Loyal Customers
12458,72,0.25,736.40000000000009,3,1,3,2,Customers Needing Attention
12461,155,1,609.88000000000011,2,3,3,3,Customers Needing Attention
12462,19,0.2,742.93999999999994,4,1,3,2,Potential Loyalists
12463,54,0.5714285714285714,1155.38,3,2,4,3,Potential Loyalists
12464,150,0.66666666666666663,76.5,2,2,1,2,Customers Needing Attention
12465,18,0.33333333333333331,662.29,4,1,3,2,Potential Loyalists
12468,188,0.33333333333333331,599.39,1,1,3,2,Hibernating
12471,3,2.0769230769230771,11999.400000000001,5,5,5,5,Champions
12472,33,0.58333333333333337,5623.4100000000008,4,2,5,4,Loyal Customers
12473,54,0.6,2510.43,3,2,5,4,Loyal Customers
12474,18,1.6363636363636365,6381.9400000000005,4,5,5,5,Champions
12475,54,1,669.38,3,3,3,3,Potential Loyalists
12476,16,0.83333333333333337,4441.37,4,3,5,4,Loyal Customers
12477,23,0.6,11051.14,4,2,5,4,Loyal Customers
12478,4,1,511.99,5,3,3,3,Loyal Customers
12479,12,1,426.34999999999997,5,3,2,3,Loyal Customers
12480,29,0.36363636363636365,2759.4800000000005,4,1,5,3,Potential Loyalists
12481,23,0.83333333333333337,4266.42,4,3,5,4,Loyal Customers
12483,18,0.72727272727272729,1910.98,4,2,5,4,Loyal Customers
12484,36,0.36363636363636365,3512.5699999999993,3,1,5,3,Potential Loyalists
12488,10,1,1075.1599999999999,5,3,4,4,Champions
12489,337,1,207.33,1,3,1,2,Hibernating
12490,6,0.83333333333333337,4781.0300000000007,5,3,5,4,Champions
12491,39,1,397.55000000000007,3,3,2,3,Potential Loyalists
12492,64,0.66666666666666663,227.21,3,2,2,2,Customers Needing Attention
12493,166,1,362.79,2,3,2,3,Customers Needing Attention
12494,16,0.58333333333333337,951.75000000000011,4,2,4,3,Potential Loyalists
12497,82,1,953.1,2,3,4,4,At Risk
12498,22,1.5,349.7,4,5,2,4,Loyal Customers
12500,24,1,3384.37,4,3,5,4,Loyal Customers
12501,337,1,1911.8399999999992,1,3,5,4,Cant Lose Them
12502,96,0.625,1936.1200000000006,2,2,5,4,At Risk
12504,31,1,60,4,3,1,2,Potential Loyalists
12506,233,1,73.500000000000028,1,3,1,2,Hibernating
12507,135,0.5,1027.31,2,1,4,3,Customers Needing Attention
12508,27,2,398.27,4,5,2,4,Loyal Customers
12509,285,1,124.5,1,3,1,2,Hibernating
12510,143,0.2857142857142857,814.57,2,1,3,2,Customers Needing Attention
12512,67,2,138.03000000000006,3,5,1,3,Potential Loyalists
12513,113,1,520.04,2,3,3,3,Customers Needing Attention
12514,268,1,827.38000000000022,1,3,3,3,At Risk
12515,354,1,190.8,1,3,1,2,Hibernating
12516,78,0.5,1186.06,2,1,4,3,Customers Needing Attention
12517,29,0.66666666666666663,2295.8900000000003,4,2,5,4,Loyal Customers
12518,1,1,1750.0900000000004,5,3,4,4,Champions
12519,64,1,252.83999999999997,3,3,2,3,Potential Loyalists
12520,80,0.7142857142857143,2094.5600000000009,2,2,5,4,At Risk
12521,143,1,530.73,2,3,3,3,Customers Needing Attention
12522,40,2,156.72,3,5,1,3,Potential Loyalists
12523,20,1,1379.77,4,3,4,4,Loyal Customers
12524,10,0.72727272727272729,3676.5700000000006,5,2,5,4,Champions
12526,1,0.75,1122.1599999999999,5,2,4,3,Loyal Customers
12527,82,0.33333333333333331,296.71000000000004,2,1,2,2,Customers Needing Attention
12528,10,0.54545454545454541,1219.4299999999998,5,2,4,3,Loyal Customers
12530,60,0.4,1340.5800000000002,3,1,4,3,Potential Loyalists
12531,15,1,95.27,4,3,1,2,Potential Loyalists
12532,31,1,313.83,4,3,2,3,Potential Loyalists
12534,131,1,877.03,2,3,4,4,At Risk
12535,92,0.5,593.75000000000011,2,1,3,2,Customers Needing Attention
12536,60,1,3881.9100000000003,3,3,5,4,Loyal Customers
